Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;22.4372938683401;2.92277755315574;22.626859807748;7.42180115607138;8.22515597923348
2;75431;22.4651148740536;3.63480002746908;22.7572660384351;9.19066861809575;9.54517797590074
3;56899;22.6026389673579;4.54905235406437;23.0558705237678;11.3794418689022;11.0052069722145
4;42919;22.8179011331215;5.72216467050278;23.5244506978857;14.0780410827033;12.3452279688313
5;32375;23.0974309123193;7.22991093971033;24.2025396796598;17.3810578037109;13.7952579651703
6;24421;23.3377493791236;9.12259133998035;25.0573785308653;21.3502411449399;16.0753009594138
7;18421;23.6794932744669;11.6158679330897;26.3751168637127;26.1300502425136;17.3903219560937
8;13895;24.0304605441654;14.9017221230278;28.2758617233256;31.8037979066447;19.6053669505012
9;10481;24.3752830014181;19.232194726636;31.0488604525588;38.2735796347544;20.8703869473073
10;7906;24.8106055528464;25.0774098057149;35.276658436744;45.3064185214689;23.1204299416265
11;5963.6;25.2364215518826;32.7375951010243;41.3355428867571;52.3724577697057;24.3654529384831
12;4498.4;25.753036144712;42.869621664272;50.0102322760919;59.005530130702;25.7954799348727
13;3393.2;26.4188357450735;56.2379637066189;62.134237293075;64.8373306131359;27.1255029315147
14;2559.5;27.3116021640315;73.8876278912375;78.7737593882653;69.7138216614127;29.3355439259349
15;1930.7;28.5684041151692;97.1710216874864;101.283568111898;73.6165967085865;31.3505839208474
16;1456.3;30.3233066800945;127.757176246396;131.306507875534;76.6478574856424;33.4556209155327
17;1098.5;32.8199202742999;168.000184201629;171.175959347663;78.9461171474734;35.5156609103316
18;828.64;36.3701819182626;220.908201337468;223.88216443237;80.6507323229593;37.795700904575
19;625.06;41.3599420632111;290.123236287795;293.056542396815;81.8865880000373;40.1607478986039
20;471.49;48.4519837142699;380.858881337128;383.92848581372;82.7499090475891;42.4157868929104
21;355.65;58.6534475138256;499.553842741349;502.985356350367;83.3034666081783;45.3608428854749
22;268.27;72.8234245745474;654.585478426603;658.623868177998;83.6518793606712;47.67588587963
23;202.36;92.9123980708027;856.924416387284;861.946732180101;83.8118543621014;49.9459288738987
24;152.64;120.884459089299;1119.9117980333;1126.41710206455;83.8392860352074;52.330972867877
25;115.14;160.204907209773;1461.81325719123;1470.56574528109;83.7457273597816;54.6160128621078
26;86.851;215.049298949882;1905.50231891916;1917.59883405918;83.5610144163878;56.8610558564396
27;65.513;290.399351127003;2480.01251750788;2496.95692196136;83.3213119257007;59.0460978509229
28;49.417;395.066204125929;3225.54641618122;3249.65028712044;83.0171691320491;62.9661678410257
29;37.276;538.076631134205;4188.16071470861;4222.58411795446;82.6789923979146;67.026242830775
30;28.118;735.280857704668;5432.04135510313;5481.57926361168;82.2912986006252;71.0313178206632
31;21.21;1003.04471712636;7034.61375614321;7105.76451922482;81.8850647443037;73.7313688138462
32;15.999;1372.47225853603;9085.41997068264;9188.50021190238;81.4096694909142;76.4214188070545
33;12.068;1873.94814009092;11724.7805059807;11873.5908446086;80.9193325981298;78.4514548019291
34;9.103;2555.70512182757;15089.6686775718;15304.5656412924;80.3871591353239;81.5965137939886
35;6.8665;3476.56750419168;19367.80260157;19677.3549854797;79.8236430030232;84.8415747857956
36;5.1795;4666.29960194311;24821.973383409;25256.7756180744;79.3531881768111;87.1516137799633
37;3.9069;6391.91717471973;31806.0382078487;32441.9585051151;78.6368846064178;90.6566827711139
38;2.9471;8390.18408580521;40504.3020126303;41364.1592507821;78.2970886992726;93.1667267647766
39;2.223;11070.1337399457;51541.6742225139;52717.0944066537;77.8781547584602;97.16180275469
40;1.6768;15379.8881854199;65428.1773218444;67211.5120217863;76.771908184786;99.8368507479362
41;1.2649;19564.6262626503;84481.6938775945;86717.5368724503;76.9610572854566;102.766902740539
42;0.9541;27293.2081293921;105286.903664948;108766.958647129;75.467276865522;108.017001727283
43;0.71969;33277.9286606331;136489.698937734;140487.929915902;76.2978894368705;113.517104713397
44;0.54287;45616.2930410537;171856.649430818;177807.632413219;75.1346356728043;119.812221697503
45;0.40949;64276.7783459213;219649.698616348;228861.2993426;73.6887757434788;127.157357678959
46;0.30888;94992.675913906;253077.866440627;270318.35853198;69.426395725869;131.812441667206
47;0.233;20556.6573506693;315667.548100751;316336.177326231;86.2740896357587;137.422544653041
48;0.17575;355446.204319628;263331.675219458;442363.623435649;36.5328301717203;144.067670636264
49;0.13257;-188052.703679659;259151.898448327;320192.950938339;125.966389271786;160.477977594832
50;0.1;80083.0541375024;222266.934874021;236253.859012467;70.1858451302251;170.23815157019
