Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;22.5320033775845;2.04814852324248;22.6248997474186;5.19388561348103;8.19315297931428
2;75431;22.6024936420756;2.47382449974372;22.7374696590364;6.24611453320287;9.44317197615828
3;56899;22.8138997651055;2.99473611359321;23.0096168347572;7.47834692629615;10.7981989727372
4;42919;23.1628853967771;3.61905231280341;23.4439075144703;8.88030050092619;12.2382269691014
5;32375;23.6740986587498;4.36601798483801;24.0733267403603;10.4491782591766;13.6932509654279
6;24421;24.2652343146572;5.17147961778107;24.8101954402287;12.0310482172898;15.9982969596082
7;18421;25.1372445879832;6.08916335142146;25.8642412569243;13.6168458606041;17.2533169564396
8;13895;26.2207295355849;7.06651844192628;27.1562578472877;15.0829352509563;19.6283639504431
9;10481;27.5099127821819;8.07873732207269;28.6716113604085;16.3657418793794;20.8583839473376
10;7906;29.0990257461117;9.14645373714105;30.5026378423004;17.449062188719;23.08342594172
11;5963.6;30.7790923927431;10.1760610885678;32.4176610476339;18.294713361306;24.3534479385135
12;4498.4;32.601952668976;11.2206233010515;34.478829810396;18.9919407606874;25.6684739351933
13;3393.2;34.5496521871433;12.3053151083829;36.6755946941447;19.604028599336;27.0384999317344
14;2559.5;36.6056296013642;13.4777205312065;39.0079616133627;20.2130559342645;28.3685229283764
15;1930.7;38.7829449660833;14.7874702643275;41.5064584981737;20.8712470865461;29.7085479249931
16;1456.3;41.0891931044674;16.3050528538105;44.2060690238542;21.6442152733315;31.063573921572
17;1098.5;43.5625901366344;18.0959486024951;47.1716293468493;22.5580529733252;32.3885969182267
18;828.64;46.2460896151095;20.236948653492;50.4800445274448;23.6338329360371;33.7786219147172
19;625.06;49.1898574213016;22.8088940851531;54.2207314826692;24.8767303475695;35.1786509111824
20;471.49;52.4742172681471;25.9128370314995;58.523658471816;26.2810979201632;36.6636779074331
21;355.65;56.1904428038512;29.6450302433195;63.5310450143881;27.8152935861472;38.0787019038605
22;268.27;60.4480006198988;34.1164679890103;69.411052196235;29.4401070153299;39.4637329003637
23;202.36;65.3984282874092;39.4373368150214;76.3692212709076;31.0913163058168;41.8387748943672
24;152.64;71.1891003821384;45.6937146109801;84.5919828835326;32.6949411750997;43.2638008907694
25;115.14;78.0357746577531;53.0023204676043;94.3336000658633;34.1845592382161;45.6888458846468
26;86.851;86.0963099359763;61.4165204941792;105.757097039412;35.5020374594622;47.8988878790669
27;65.513;95.5314705422866;71.0160676964372;119.035892633427;36.6263293822022;50.1639298733483
28;49.417;106.548627855148;81.9602080016467;134.425019224428;37.5684991353246;54.0890018634384
29;37.276;119.261072871474;94.3572767893283;152.0739924693;38.3504292683257;58.1440778532003
30;28.118;133.800516705223;108.441776216078;172.227167135393;39.0238511605772;60.5491198471282
31;21.21;150.344319929084;124.639123844134;195.290362608021;39.659563348733;63.2091708404122
32;15.999;169.166233722187;143.181110825903;221.625912584898;40.2443415885537;65.8492208337467
33;12.068;190.919470578759;164.75944050794;252.182310011157;40.7934943729229;68.7292728264753
34;9.103;215.659812009056;189.625495952782;287.17065175801;41.3245403974071;71.8393308186231
35;6.8665;244.215197456377;218.314087428626;327.569997769104;41.7948495082917;75.1293918103165
36;5.1795;277.095834064254;251.583663855509;374.267873554125;42.2372550360669;78.5394528017069
37;3.9069;315.01586751041;290.072655797922;428.225574230447;42.6394659279553;81.9695177930469
38;2.9471;358.603181143193;334.465909953565;490.370968193554;43.0053863858667;85.6995877836293
39;2.223;408.946000982988;386.131320308451;562.435977017052;43.3563531775847;90.8746847705635
40;1.6768;466.526891849186;445.863874973724;645.323125128061;43.7026377737704;94.9397557603002
41;1.2649;532.665877988504;515.219403045439;741.069477746697;44.0461579599475;99.4148407490017
42;0.9541;608.513759807855;595.743994466637;851.586697182709;44.3924670728394;104.604936735898
43;0.71969;696.285616087395;689.522488577093;979.925977522665;44.7203829411709;110.110037721999
44;0.54287;797.858390497003;798.720346936743;1128.95181646394;45.0309326813424;116.405153706105
45;0.40949;916.562157936074;926.599636146956;1303.33152922351;45.3120178896676;123.760292687535
46;0.30888;1054.51158279783;1075.16819173564;1505.98184543336;45.5557170671399;132.515453665431
47;0.233;1214.85363122984;1246.36428169696;1740.48650325198;45.7335102824862;143.025647638895
48;0.17575;1403.9398716546;1445.5835769662;2015.13251207357;45.8372763927003;156.100891605883
49;0.13257;1623.1615612759;1677.63238474119;2334.33156863717;45.9454286096289;172.406192564716
50;0.1;1879.86795608721;1937.95882985026;2699.92369494364;45.8717276239559;192.916572512932
